,dataset_id,filename,year,layer,xlnet_corr,xlnet_pvalue,roberta_corr,roberta_pvalue,xlm_corr,xlm_pvalue
40,headlines_2015,headlines,2015,3,0.010678610313979119,6.670327530226872e-32,0.013089190289196435,4.585890156827428e-47,-0.0008554139223021619,0.3463851611627722
41,headlines_2016,headlines,2016,3,0.024756957789206144,2.494608798458164e-17,0.028596291696308816,1.3542748190054077e-22,0.0010797651823560104,0.7118800870072496
42,images_2014,images,2014,3,-0.012622386729979621,8.615340363320668e-44,-0.030885029403168358,9.537333282650068e-253,-0.011837560216591273,1.0044843603915124e-38
43,images_2015,images,2015,3,0.012349821813095862,3.659122788514843e-42,0.011301335255024258,1.374011474272906e-35,0.011046780437723088,4.438983799941826e-34
44,track5.en-en_2017,track5.en-en,2017,3,0.035396437333583004,2.684997267589105e-38,0.054956900524236844,8.953777825618628e-90,0.011262744473529982,3.833673325963421e-05
45,MSRpar_2012test,MSRpar,2012test,4,0.05218882834819796,0.0,0.05602808092367934,0.0,0.06449117585440023,0.0
46,MSRpar_2012train,MSRpar,2012train,4,0.0703565726788257,0.0,0.07724811376472045,0.0,0.06567575755137295,0.0
47,MSRvid_2012test,MSRvid,2012test,4,0.03367289647418819,2.907952066287095e-309,0.0035194781088394877,8.526507955024877e-05,0.0086556119546924,4.329574995390031e-22
48,MSRvid_2012train,MSRvid,2012train,4,0.04724511372062938,0.0,0.037652574986370306,0.0,0.02971988699488068,8.663012759478872e-242
49,answer-answer_2016,answer-answer,2016,4,0.0777555687606884,1.031674963144977e-162,0.046868551484816875,2.4461082718705544e-60,0.059593911327550854,2.1394403921650764e-96
50,answers-forums_2015,answers-forums,2015,4,0.041403780898440004,1.4417604994504354e-113,0.015586379345903782,1.514868501678658e-17,0.005243766507310183,0.00412518749295602
51,deft-forum_2014,deft-forum,2014,4,0.04281952716384513,9.170902003434192e-176,0.04146425295067993,6.089964350701663e-165,0.041928699782289046,1.3031337965056048e-168
52,deft-news_2014,deft-news,2014,4,0.07287316656076567,5.0630981655805135e-223,0.03559710150400144,1.1154723384568941e-54,0.06139805225514276,6.460376471631788e-159
53,headlines_2013,headlines,2013,4,0.033754367131421166,3.5184736995304e-301,0.0005006888881382697,0.5821645325597928,-0.004208042556563971,3.757286240781524e-06
54,headlines_2014,headlines,2014,4,0.018292884785101913,1.207158992177357e-89,-0.005269760029832685,7.324592708666136e-09,-0.01636917167705093,3.7041322484663527e-72
55,headlines_2015,headlines,2015,4,0.030468364983424055,1.3016227279455127e-246,0.009423661238944125,3.27674552089235e-25,0.0006022325721332448,0.5073775497147852
56,headlines_2016,headlines,2016,4,0.03376518210286131,7.4393015108598125e-31,0.021409802693614394,2.4213603980415825e-13,-0.005463662211461248,0.06164529484306806
57,images_2014,images,2014,4,0.018365863081657854,1.1335011254886366e-90,-0.013376469703986267,5.807618345301845e-49,-0.013846769094731998,2.445489176435201e-52
58,images_2015,images,2015,4,0.031815581751085405,3.4765272911084795e-269,0.011432572899644906,2.2212665232815217e-36,0.011124598418096463,1.547003874305081e-34
59,track5.en-en_2017,track5.en-en,2017,4,0.04568971163886391,1.2542013042098152e-62,0.03640673773033918,2.049833636834415e-40,0.010082911833987213,0.0002278291897445876
