,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
16,microsoft/phi-1,5,0.25631247159789416,0.12977127932503738,0.039169820655239024,0.23605473405824381,0.4737706378280447,0.14636815677192289,0.3585021293826894,0.23636361314638066,0.34613874757517277,0.154526852199339,0.3418885210971325,0.24962429675923417
17,microsoft/phi-1,6,0.2585560169882908,0.12978791058319003,0.043098191661830966,0.23645942884379334,0.47588103550350647,0.14477705830114485,0.3552491291395276,0.24093255729086277,0.3436701562537346,0.15223007386155854,0.3462258547546816,0.25295017799163816
18,microsoft/phi-1,7,0.26052194479302687,0.1283320634840208,0.052264390677212134,0.23262206076566921,0.479935410866497,0.1445109200050864,0.35199612889636583,0.24219009985125103,0.3381890135918381,0.14970298816397937,0.344057187925907,0.25561630035798105
19,microsoft/phi-1,8,0.2662303759073714,0.12883410605021628,0.058811675688198686,0.2356825626083389,0.48825299974925324,0.13944180220900795,0.36067079621146386,0.2366457961698133,0.33184272454617064,0.1488400786043072,0.3429728545115198,0.25403274281420785
20,microsoft/phi-1,9,0.2681443033328769,0.12855810809694954,0.058811675688198686,0.23698851083597045,0.490220972790474,0.1361876786703281,0.36067079621146386,0.2333435334997521,0.32299733017400734,0.14904250354700607,0.34297285451151976,0.25208129661028367
21,microsoft/phi-1,10,0.26520625447932394,0.12683112091380347,0.06539692383607866,0.23845033167860966,0.49402311908800045,0.13163152768249944,0.3607396604124094,0.22675741580868858,0.31703123864494853,0.14666568596040683,0.3441333045294707,0.2542287030220191
22,microsoft/phi-1,11,0.2637017365435684,0.12318511852454347,0.06015909582728942,0.23549647204444393,0.4979065633430304,0.12944867458686343,0.3553179933404731,0.22504458929534343,0.31525681967947444,0.14273590231370317,0.35714530550211787,0.2504055963436072
23,microsoft/phi-1,12,0.2668234828215505,0.11961509822729197,0.06408746683388135,0.2248257846382294,0.5044285496021402,0.1266640776792457,0.35857099358363487,0.2159390294271359,0.3131725981623705,0.13656143393139863,0.36473563940282866,0.2498881826449587
24,microsoft/phi-1,13,0.26415876309730757,0.11585024357933327,0.05623072482069749,0.2148072349592425,0.5106338443466993,0.12048888457349477,0.3585709935836349,0.21098166345332325,0.30575806645958514,0.13057100608480984,0.3669043062316032,0.24612036404174858
25,microsoft/phi-1,14,0.2622105205840937,0.11505848817572294,0.057540181822894804,0.20936254739882185,0.5110527726639631,0.11916765416305922,0.3520649930973113,0.21190529997070004,0.2980077577287311,0.127643125119759,0.3755789735467012,0.2442070507982697
