,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
92,openai-community/gpt2,11,0.25865670559216764,0.07883237749958698,,,0.39544464794996326,0.09205434278131745,0.45140041170677897,0.17824887788616015,0.010972071079280275,0.10198281495627173,0.310833808139551,0.24513770083945033,0.4025131833893924,0.09662035023612493,0.5055562967241809,0.16737525880626355,0.3719018963987107,0.10853446657847546,0.5184567945225671,0.17422044914868376,0.44361017431703353,0.09953922981472241,0.5997354497354498,0.20067936322680732
93,openai-community/gpt2,12,0.23959707524455484,0.0785960723898487,,,0.38958620202424143,0.09579734240298148,0.45162636382288956,0.19303346410593947,0.012470387421909182,0.10181656106516876,0.306157191926634,0.25042404271481083,0.39997360546284716,0.0996982384170261,0.5060999649925282,0.18083429011584323,0.3756963103238329,0.11021132279659869,0.5186216549887356,0.18395593110770458,0.4229642020382755,0.10223784945068243,0.5932804232804234,0.2069166732580572
94,openai-community/openai-gpt,1,0.36915073708824064,0.05838338181114458,,,0.2986316718889836,0.12112909423849896,0.5090267613733385,0.1643917379598266,0.19503633877412996,0.1172487859455141,0.3117602593430242,0.2808087071996734,0.3880092896830955,0.10931755033580322,0.5880643251467083,0.15754522828343256,0.30376742056068096,0.10083951010097326,0.5896144495232101,0.16294675474197667,0.45141028727231247,0.1162570419516034,0.578941798941799,0.17834562246862662
95,openai-community/openai-gpt,2,0.40460699997332744,0.06221445428925448,,,0.38969370828313254,0.09708835306886236,0.4534600904414381,0.18123780959747834,0.030149284074295294,0.11430092466317837,0.28464021048294036,0.27375527635715197,0.4057461302511772,0.09583181823721625,0.5214161085151382,0.1774602708131241,0.3158419371889766,0.1053038575252332,0.5248935171240566,0.186079050663759,0.5965152490330052,0.08804784202479805,0.5426455026455026,0.1791330302741607
96,openai-community/openai-gpt,3,0.38153473770596064,0.07254463302414554,,,0.39297410837629976,0.09604021734637726,0.44195890605638016,0.1812807838095384,0.047610632636944934,0.11102306424732018,0.28589568069308685,0.2859011233533113,0.4111182904663729,0.08942856849154586,0.500412522347075,0.17298342192361674,0.32897503000015,0.09897608142022012,0.511828812630942,0.17193438576688344,0.5597780966971201,0.09115223077287095,0.5204232804232805,0.1792773739465186
97,openai-community/openai-gpt,4,0.35681492522862085,0.08248396887678063,,,0.33776033262438376,0.09544090716274659,0.3794361259326162,0.19112761030212796,0.05172549459993859,0.10594193520939198,0.2503565437692637,0.2844876370433577,0.35979396245411266,0.08574831719473715,0.42449558900728834,0.18533203355213837,0.2826650920856913,0.08683713565136907,0.4562492847462129,0.19632804805278217,0.47554373176581577,0.11067866897249819,0.437037037037037,0.20264370673496543
98,openai-community/openai-gpt,5,0.28890465269647725,0.10251998722667341,,,0.27489732208509304,0.10537635767693948,0.36530817987302366,0.21616682404349608,0.10962821745176529,0.1000991352285745,0.23181234808159396,0.30680886961124454,0.33834876431364,0.09113592970809414,0.390975530488486,0.21518970401481083,0.26980280322435574,0.08761349609909726,0.40333154497728235,0.2264208058635817,0.33963934465882367,0.12158228491598394,0.3664550264550264,0.19059993041264997
99,openai-community/openai-gpt,6,0.2652860144459619,0.10276651503861645,,,0.2783664864763825,0.10968247097464436,0.35535489004389637,0.2277208572675139,0.11979897221788396,0.11899907744294948,0.21335598529330532,0.31943440238993426,0.34715445478265,0.08313285309638238,0.3905332347283299,0.23287940096038884,0.284476426238976,0.08992410833627949,0.39398332857185114,0.21979495754524425,0.31744838131371816,0.11637224421865798,0.3580952380952381,0.18660510808743552
100,openai-community/openai-gpt,7,0.26116394971001794,0.11004665060821973,,,0.27969477965191797,0.10456598963634274,0.33897016263618324,0.23340972424933198,0.10124908819869839,0.11010127786836556,0.20677692320786856,0.31992859364408777,0.3306140527937574,0.09216837228693815,0.3770239410802113,0.22892557879408865,0.2741774312687938,0.0952533538988117,0.37864564193137656,0.21834357744334637,0.3140016090193383,0.1208806346340193,0.335132275132275,0.18726783541887193
101,openai-community/openai-gpt,8,0.24287585418146848,0.11704772950659623,,,0.34019051369547065,0.09649537788220644,0.39219333195908607,0.22307143223773604,0.030621831071358088,0.10572412466598916,0.21994376723745956,0.32912327162657945,0.34609822264320306,0.10230235329864847,0.4276478995055971,0.2284455066665656,0.3083366083570299,0.10218582630219653,0.4381196392116854,0.24175778077332302,0.34172373171225334,0.11323690252483312,0.40952380952380946,0.21976265474963785
102,openai-community/openai-gpt,9,0.22781152639612634,0.1137297219240638,,,0.3278858329629381,0.09086967335648119,0.3744218331891457,0.2140088440578314,-0.0040354728836647985,0.11751139002457517,0.19583563144119148,0.29642228521096947,0.30854464531257003,0.10774398434502448,0.4255514553386445,0.2534075124525918,0.27816186561746453,0.0994297467328288,0.42933105850073866,0.263412065381453,0.32898713731736867,0.10451432459156833,0.41365079365079355,0.22262042931221998
103,openai-community/openai-gpt,10,0.227884363024992,0.11082694545717069,,,0.30777444468164944,0.09067437574309112,0.3624158570395381,0.2293241926946358,-0.01052649961932992,0.1180170252650747,0.18977992902034718,0.29130579927723094,0.28760139691429315,0.10813804594153185,0.39406010137451486,0.24105534812991317,0.254580998189514,0.09777106704419374,0.3995619055170129,0.24189996500507338,0.31817289762208006,0.10542527791709015,0.4069841269841269,0.2277504362035254
