,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
152,roberta-base,modifier,3,0.07572154461807717,15,_consider_magnitude
153,roberta-base,compound,3,0.10880991846394113,16,_consider_magnitude
154,roberta-base,head,3,0.10791056264032474,16,_consider_magnitude
155,roberta-base,modifier,3,0.07504447276222961,16,_consider_magnitude
156,roberta-base,compound,3,0.1074110624598787,17,_consider_magnitude
157,roberta-base,head,3,0.10687962492774175,17,_consider_magnitude
158,roberta-base,modifier,3,0.07394455036999423,17,_consider_magnitude
159,roberta-base,compound,3,0.10748260212766637,18,_consider_magnitude
160,roberta-base,head,3,0.10717600355143352,18,_consider_magnitude
161,roberta-base,modifier,3,0.07405696984794627,18,_consider_magnitude
162,roberta-base,compound,4,0.15747040921554198,1,_consider_magnitude
163,roberta-base,head,4,0.20499075987662982,1,_consider_magnitude
164,roberta-base,modifier,4,0.09573333861389204,1,_consider_magnitude
165,roberta-base,compound,4,0.17975407435060206,2,_consider_magnitude
166,roberta-base,head,4,0.19512343101520516,2,_consider_magnitude
167,roberta-base,modifier,4,0.11362226095344298,2,_consider_magnitude
168,roberta-base,compound,4,0.1748920905903384,3,_consider_magnitude
169,roberta-base,head,4,0.15863557238051484,3,_consider_magnitude
170,roberta-base,modifier,4,0.11906228281658131,3,_consider_magnitude
171,roberta-base,compound,4,0.14464441637372893,4,_consider_magnitude
172,roberta-base,head,4,0.1372135910858804,4,_consider_magnitude
173,roberta-base,modifier,4,0.1037432137557906,4,_consider_magnitude
174,roberta-base,compound,4,0.13409367247701395,5,_consider_magnitude
175,roberta-base,head,4,0.12920767606023972,5,_consider_magnitude
176,roberta-base,modifier,4,0.08742807994873741,5,_consider_magnitude
177,roberta-base,compound,4,0.1380004627140434,6,_consider_magnitude
178,roberta-base,head,4,0.13605675820390287,6,_consider_magnitude
179,roberta-base,modifier,4,0.09324027260322164,6,_consider_magnitude
180,roberta-base,compound,4,0.11985803281089359,7,_consider_magnitude
181,roberta-base,head,4,0.12412012872844516,7,_consider_magnitude
182,roberta-base,modifier,4,0.08499981188329263,7,_consider_magnitude
183,roberta-base,compound,4,0.11572235449804874,8,_consider_magnitude
184,roberta-base,head,4,0.12286102554662298,8,_consider_magnitude
185,roberta-base,modifier,4,0.0811097644139274,8,_consider_magnitude
186,roberta-base,compound,4,0.11603872982480964,9,_consider_magnitude
187,roberta-base,head,4,0.12684889498259963,9,_consider_magnitude
188,roberta-base,modifier,4,0.08564711683688431,9,_consider_magnitude
189,roberta-base,compound,4,0.1138189727031455,10,_consider_magnitude
190,roberta-base,head,4,0.1235100427002392,10,_consider_magnitude
191,roberta-base,modifier,4,0.08621743587778215,10,_consider_magnitude
192,roberta-base,compound,4,0.11191295155423123,11,_consider_magnitude
193,roberta-base,head,4,0.12172155100554752,11,_consider_magnitude
194,roberta-base,modifier,4,0.08423987506108019,11,_consider_magnitude
195,roberta-base,compound,4,0.10949082280199163,12,_consider_magnitude
196,roberta-base,head,4,0.12185696537671703,12,_consider_magnitude
197,roberta-base,modifier,4,0.08307991044766587,12,_consider_magnitude
198,roberta-base,compound,4,0.10660879618540271,13,_consider_magnitude
199,roberta-base,head,4,0.12440684353572033,13,_consider_magnitude
200,roberta-base,modifier,4,0.08367011270691412,13,_consider_magnitude
201,roberta-base,compound,4,0.10397204842980011,14,_consider_magnitude
202,roberta-base,head,4,0.1258453018558795,14,_consider_magnitude
203,roberta-base,modifier,4,0.08094138537844166,14,_consider_magnitude
204,roberta-base,compound,4,0.10053303439972151,15,_consider_magnitude
205,roberta-base,head,4,0.12383963616968954,15,_consider_magnitude
