,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_pvalue,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_pvalue_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_pvalue,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_pvalue_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_pvalue,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_pvalue_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_pvalue,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_pvalue_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_pvalue,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_pvalue_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_pvalue,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_pvalue_within_compound_sentences
10,roberta-base,11,0.06534599896957871,0.0,,,0.11984275561610187,0.0,0.09422880190208224,5.647673762180136e-194,0.07311615982464272,0.0,0.08277811042851381,2.960952267245305e-150,0.19056506478238447,0.0,0.1463970990105048,0.0,0.1919654594046638,0.0,0.1564077357693484,0.0,0.2129950873102043,0.0,0.2606371099075933,0.0
11,roberta-base,12,0.06477804159793789,0.0,,,0.08376799743951373,0.0,0.1368925738884372,0.0,0.1278795662955854,0.0,0.09938279345344618,1.1372989361847921e-215,0.23109572056727903,0.0,0.21511256751039445,0.0,0.2307146869299749,0.0,0.224703155200812,0.0,0.16322108245753206,0.0,0.30391272959557214,0.0
12,bert-base-uncased,1,0.06603921473480237,0.0,,,0.3038011923556938,0.0,0.34256287403519997,0.0,-0.02445798394560778,5.049755598855247e-120,0.18023393650468922,0.0,0.3465410768482438,0.0,0.47294424696071763,0.0,0.3757009269570558,0.0,0.5235555277681165,0.0,0.6199331339396265,0.0,0.6213830714670434,0.0
13,bert-base-uncased,2,0.0658870659301651,0.0,,,0.30603265174793093,0.0,0.3380585654505397,0.0,-0.034678058354417764,3.189654399663027e-239,0.166354315699242,0.0,0.33396842751729083,0.0,0.4562502730774598,0.0,0.36245351220102917,0.0,0.5034945971529466,0.0,0.6170737951622298,0.0,0.6153583067420861,0.0
14,bert-base-uncased,3,0.06559323838420293,0.0,,,0.31863314676868826,0.0,0.334986231093449,0.0,-0.039643753414518,0.0,0.15498260322001536,0.0,0.3336627840446851,0.0,0.4432101396928188,0.0,0.36297430354076543,0.0,0.49127265100906825,0.0,0.6038118286399712,0.0,0.6017248228574622,0.0
15,bert-base-uncased,4,0.06540826861068105,0.0,,,0.32133580252494887,0.0,0.30718946437196276,0.0,-0.05190073454667593,0.0,0.14089940564742479,0.0,0.31105549278526634,0.0,0.413265478631552,0.0,0.337821899778497,0.0,0.45786090748641256,0.0,0.5603259260410841,0.0,0.5879362867442385,0.0
16,bert-base-uncased,5,0.06558466549944403,0.0,,,0.28191981873343186,0.0,0.2332918167815876,0.0,-0.0635322246599199,0.0,0.1064625936815027,3.517991456504955e-247,0.2433073972055216,0.0,0.3185538665087907,0.0,0.26246552041113036,0.0,0.35382156300608997,0.0,0.49192578867385156,0.0,0.49269112766125545,0.0
17,bert-base-uncased,6,0.06489090706542697,0.0,,,0.2635758434278434,0.0,0.21464206612120143,0.0,-0.04435201185705313,0.0,0.1052186841479195,1.7343563786620027e-241,0.24071841575315525,0.0,0.295156649051529,0.0,0.2557805883511258,0.0,0.32999311152875566,0.0,0.4271461991619963,0.0,0.46057398674158573,0.0
18,bert-base-uncased,7,0.06470461674998855,0.0,,,0.2529879863772495,0.0,0.20201612211536746,0.0,-0.02960912824105567,5.764712912012004e-175,0.08909963877922057,9.325595243960405e-174,0.2354784193490702,0.0,0.2688789945990448,0.0,0.24709318640602115,0.0,0.30354896125490066,0.0,0.38430446183188194,0.0,0.43308801175118944,0.0
19,bert-base-uncased,8,0.06450873673251548,0.0,,,0.2092164149483608,0.0,0.1661512643240072,0.0,0.009632642394634993,4.541819754517937e-20,0.07677213708402203,1.5961433131101415e-129,0.21755164842924835,0.0,0.23016111752252008,0.0,0.22481986517779587,0.0,0.25552336488337984,0.0,0.30727226988297557,0.0,0.3812428864028195,0.0
20,bert-base-uncased,9,0.06417313787801199,0.0,,,0.1471123632210833,0.0,0.1350354091354625,0.0,0.0434326992541736,0.0,0.07115236066515956,1.5586126826648971e-111,0.19908703604330816,0.0,0.20312482120541955,0.0,0.2010645655307958,0.0,0.2206506662868115,0.0,0.22515285470367433,0.0,0.33963161580266277,0.0
21,bert-base-uncased,10,0.06540319222746348,0.0,,,0.0828450849764911,0.0,0.055748180607529264,3.670601207697197e-69,0.060388473059012224,0.0,0.03795770750867932,4.99677218819113e-33,0.12628842523366476,0.0,0.0973159436913832,1.2765679192758186e-207,0.12382104215286747,0.0,0.10253466803566805,3.798622088399993e-228,0.16682169602010366,0.0,0.23904722603909953,0.0
22,bert-base-uncased,11,0.06577677977155169,0.0,,,0.046482699130951294,0.0,0.028646807095634896,1.6804738339737884e-19,0.05472614178898657,0.0,0.012927001521916564,4.55938016020234e-05,0.08406307455875806,0.0,0.05339218265652602,7.460171794796602e-64,0.08057199969286503,0.0,0.057290125394129365,1.4072356520885923e-72,0.1317150393297776,0.0,0.19915621369051917,0.0
23,bert-base-uncased,12,0.0658567866376527,0.0,,,0.11004781017110221,0.0,0.07013505822934143,2.3397991752384013e-108,0.00061225215949715,0.5598092143956543,0.030450608400009606,7.688037154046367e-22,0.09542362771015081,0.0,0.08955738190369619,3.746098301628681e-176,0.09911051240674226,0.0,0.10568190344164594,3.1001242174572616e-242,0.23567796244730688,0.0,0.24404278290116652,0.0
24,distilroberta,1,0.06419693969886772,0.0,,,0.34233709914986665,0.0,0.34920864805887025,0.0,0.002998823424872788,0.004288022327499395,0.1695539683854418,0.0,0.39703072224154945,0.0,0.4670059193976779,0.0,0.4340083860762971,0.0,0.5256142329592506,0.0,0.5943572545576529,0.0,0.6092045422855715,0.0
