,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
127,bert-base-uncased,head,3,0.03871723193448481,7,_consider_magnitude
128,bert-base-uncased,modifier,3,0.0592138760607677,7,_consider_magnitude
129,bert-base-uncased,compound,3,0.0799076367373511,8,_consider_magnitude
130,bert-base-uncased,head,3,0.029107841775548277,8,_consider_magnitude
131,bert-base-uncased,modifier,3,0.06105173396767401,8,_consider_magnitude
132,bert-base-uncased,compound,3,0.08285962211054328,9,_consider_magnitude
133,bert-base-uncased,head,3,0.031239869861568983,9,_consider_magnitude
134,bert-base-uncased,modifier,3,0.06894897587996242,9,_consider_magnitude
135,bert-base-uncased,compound,3,0.08174237415885,10,_consider_magnitude
136,bert-base-uncased,head,3,0.027861506868127484,10,_consider_magnitude
137,bert-base-uncased,modifier,3,0.06982718699000041,10,_consider_magnitude
138,bert-base-uncased,compound,3,0.07979291821163605,11,_consider_magnitude
139,bert-base-uncased,head,3,0.025758751632797106,11,_consider_magnitude
140,bert-base-uncased,modifier,3,0.06633451820908107,11,_consider_magnitude
141,bert-base-uncased,compound,3,0.07816283578133133,12,_consider_magnitude
142,bert-base-uncased,head,3,0.02358445672967906,12,_consider_magnitude
143,bert-base-uncased,modifier,3,0.0661454490870708,12,_consider_magnitude
144,bert-base-uncased,compound,3,0.07725070501703858,13,_consider_magnitude
145,bert-base-uncased,head,3,0.022611006250139728,13,_consider_magnitude
146,bert-base-uncased,modifier,3,0.0692523146595638,13,_consider_magnitude
147,bert-base-uncased,compound,3,0.07543921842912941,14,_consider_magnitude
148,bert-base-uncased,head,3,0.020702430113090163,14,_consider_magnitude
149,bert-base-uncased,modifier,3,0.07063200825261168,14,_consider_magnitude
150,bert-base-uncased,compound,3,0.07264661639727511,15,_consider_magnitude
151,bert-base-uncased,head,3,0.018816848869258062,15,_consider_magnitude
152,bert-base-uncased,modifier,3,0.07069332796785825,15,_consider_magnitude
153,bert-base-uncased,compound,3,0.0721969384854669,16,_consider_magnitude
154,bert-base-uncased,head,3,0.018446375589643356,16,_consider_magnitude
155,bert-base-uncased,modifier,3,0.0704838189407658,16,_consider_magnitude
156,bert-base-uncased,compound,3,0.07157224388639245,17,_consider_magnitude
157,bert-base-uncased,head,3,0.018462983012522638,17,_consider_magnitude
158,bert-base-uncased,modifier,3,0.07057452101956802,17,_consider_magnitude
159,bert-base-uncased,compound,3,0.07152369911182226,18,_consider_magnitude
160,bert-base-uncased,head,3,0.018583067454880507,18,_consider_magnitude
161,bert-base-uncased,modifier,3,0.0708300198330954,18,_consider_magnitude
162,bert-base-uncased,compound,4,0.15278492165393143,1,_consider_magnitude
163,bert-base-uncased,head,4,0.12678793530484472,1,_consider_magnitude
164,bert-base-uncased,modifier,4,0.13480079809136714,1,_consider_magnitude
165,bert-base-uncased,compound,4,0.1441739519193788,2,_consider_magnitude
166,bert-base-uncased,head,4,0.11170087082512789,2,_consider_magnitude
167,bert-base-uncased,modifier,4,0.10482515243206644,2,_consider_magnitude
168,bert-base-uncased,compound,4,0.14453433615091227,3,_consider_magnitude
169,bert-base-uncased,head,4,0.11073465271693794,3,_consider_magnitude
170,bert-base-uncased,modifier,4,0.08439841135339869,3,_consider_magnitude
171,bert-base-uncased,compound,4,0.11056636865291933,4,_consider_magnitude
172,bert-base-uncased,head,4,0.08297732448356548,4,_consider_magnitude
173,bert-base-uncased,modifier,4,0.0697729567916497,4,_consider_magnitude
174,bert-base-uncased,compound,4,0.10977347355344562,5,_consider_magnitude
175,bert-base-uncased,head,4,0.06646853729702913,5,_consider_magnitude
176,bert-base-uncased,modifier,4,0.06855829204255932,5,_consider_magnitude
177,bert-base-uncased,compound,4,0.10470940796601799,6,_consider_magnitude
