,model,layer,representation,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
118,xlnet-base-cased,10,head_noun_mean,0.24309284374680484,0.05974257494552701,,,0.39151723963167967,0.08922522882905777,0.4743077323086527,0.18318848292577483,0.12405043482056395,0.11313003726221828,0.26806343126339743,0.3234335930281874,0.47453820379094225,0.0888918712527109,0.5285980170281582,0.17808429085143992,0.4621213458636132,0.08992252199803404,0.5223596753693646,0.17654732627115882,0.38285638713841996,0.08943309716611492,0.48730158730158735,0.2030410440646716
119,xlnet-base-cased,10,mod_word_mean,0.23986214217259505,0.06007874794937286,,,0.3562009769233805,0.09865784310183325,0.46997477636455165,0.18304014112093342,0.16961380513035074,0.08504640402317207,0.26532744505065176,0.25052475237494964,0.4422126911136298,0.0963124608742333,0.5538915428640584,0.16487000691016065,0.3988052715352575,0.09356492049960635,0.5570901592616969,0.1816658095896129,0.3326896739597856,0.08477518067740447,0.5894708994708996,0.18699328196582335
120,xlnet-base-cased,11,compound_mean,0.31807926653957874,0.06464998297639128,,,0.4397193415123901,0.08481634460966828,0.49891066607871737,0.17643959788071872,0.11116250463259808,0.1144050619016547,0.28280209390031796,0.27948863158067255,0.4977056715313936,0.09434311051725053,0.5665226739782627,0.17442609621161587,0.44645125042843603,0.08991742461483854,0.5614923979880435,0.179840683213151,0.4854923171719531,0.09732120298255004,0.5739682539682539,0.19763513247049394
121,xlnet-base-cased,11,head_noun_mean,0.2799240690293915,0.05110444202683899,,,0.36798255105916955,0.09801021349306321,0.4834184515808364,0.1921685243885989,0.12356687013477576,0.12315223900841507,0.27223924661155174,0.32576821715656373,0.45862277529926765,0.10158645098410933,0.5397290972940352,0.18383123049577968,0.42952839779663016,0.09575133493458289,0.5352185063328153,0.18987895037159508,0.4060466498261599,0.08688719235303037,0.5087830687830688,0.21562689569686846
122,xlnet-base-cased,11,mod_word_mean,0.28169284666550726,0.056139547178670396,,,0.3560935071864966,0.10101278891527478,0.4670452584547461,0.17296585767658745,0.1543748310449717,0.08546322604464582,0.27669058870932334,0.2289657953543801,0.44678551524012533,0.10126488487968074,0.559373007313644,0.16541150363359886,0.386289814468219,0.09917515427609422,0.5566011262713342,0.1859562804839467,0.37510308265533737,0.0939831273136087,0.6146031746031746,0.17858584303962383
123,xlnet-base-cased,12,compound_mean,0.3365544537603988,0.05497954812456588,,,0.40048415620792166,0.09506427788432495,0.47800342628354164,0.16656206826607195,0.11269656586866943,0.11380234666432759,0.2730265563311884,0.2674128024029579,0.46678839022880914,0.09517295489440349,0.5499252290983595,0.1494023212415941,0.40941747487780833,0.08923947578960173,0.5354883306704199,0.1530406430162898,0.49671880250642203,0.09132796254128119,0.5887830687830689,0.16916144084425128
124,xlnet-base-cased,12,head_noun_mean,0.3083468866086363,0.05022441064659475,,,0.36099333659891475,0.11384820712674652,0.4839499334634859,0.20054347371097214,0.11822495221063563,0.12630975351675147,0.27215967126460117,0.3083500269979184,0.44343202961525885,0.11460639501249792,0.5412179286302111,0.17726001881646708,0.40691883359168507,0.10415123812461544,0.5308392508141134,0.17542552002251594,0.4323802228727659,0.10772639611427362,0.5243386243386243,0.20609114238829734
125,xlnet-base-cased,12,mod_word_mean,0.3013908452063759,0.05239816996718381,,,0.32109671960378655,0.10856462247856423,0.45444008556291465,0.17959158403846068,0.17476937739542675,0.09549334261667121,0.26515838611730086,0.22115244839742373,0.4204340191854106,0.09672618528360803,0.5375696807235111,0.15508305167548866,0.35222234055752966,0.09569629531064026,0.5465435532189453,0.17858340833535433,0.38860889559858175,0.09557665175691057,0.6086243386243387,0.16560264201941874
126,bert-base-japanese,1,compound_mean,0.48644622719464803,0.02404135842494703,,,0.38851857457253236,0.10729363675085134,0.5323509102902533,0.17327849382157426,0.03184598114699906,0.11765999787083108,0.277926504616063,0.32419363906245724,0.399065244204209,0.11831754492175835,0.5543210505272378,0.1545824564517529,0.29845419707480214,0.11410230799449632,0.5304303529183063,0.15992906226090445,0.6361819524260771,0.06573616758152505,0.5341269841269841,0.16574917530909844
127,bert-base-japanese,1,head_noun_mean,0.35733916207953775,0.02499514913438987,,,0.3448412731664884,0.09908739415091697,0.43946392678592044,0.19900314401526248,0.009629347726535665,0.13629158461260832,0.22058283604247833,0.378532103160129,0.3593214578625322,0.1346908226103325,0.45660955902715206,0.1924183730581883,0.31630262612126503,0.13364214498678093,0.44072187500711824,0.19988093559614709,0.4724250216771064,0.11248115182391082,0.4265608465608466,0.22794886310611862
128,bert-base-japanese,1,mod_word_mean,0.35380303406235974,0.04593022285551866,,,0.3205943790505738,0.09808441643602774,0.33031127823017614,0.20114845087884461,0.020975754559243814,0.07136429250928582,0.17882982198731298,0.23347915316377166,0.3185648127810105,0.09435563987715076,0.3684114866203089,0.15443526164755383,0.24463096027712788,0.07777335509719964,0.3591894433441913,0.15075286416754005,0.38146655014235353,0.09585184241310102,0.4066137566137566,0.19876437968513685
