,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
20,bert-base-uncased,9,0.3705939627934644,0.05585302690879783,,,0.39668858196837214,0.10587097156618695,0.4900812926467248,0.2160679448171031,0.08843929012088209,0.11011172206058256,0.279084233350052,0.3280613126278447,0.4450198332142309,0.09572965994984901,0.519252416710176,0.19132178460684746,0.37519472665380527,0.10267714769626624,0.5131967732846175,0.21140375493082783,0.5240661114811879,0.09662349047518433,0.5302645502645502,0.19678952281597067
21,bert-base-uncased,10,0.4039997026689364,0.048247531945910666,,,0.37200419345016006,0.11142003874487295,0.45574877905271904,0.21940520661638094,0.08527426066485659,0.12341163535598977,0.2658915270841652,0.34858132868678127,0.42200766561031766,0.10025662463841781,0.47383509128826273,0.2037046699076671,0.34324910153435806,0.10844821553789777,0.46880123954337893,0.22169924969840374,0.5491576943833735,0.09095843735400935,0.5102116402116401,0.1930131680284791
22,bert-base-uncased,11,0.4242331082331584,0.039516875002240145,,,0.3518744736261001,0.11791576028246196,0.4497140589360545,0.22814554170083598,0.08273885846644559,0.1266788051828022,0.25991394827824427,0.3350642573277627,0.39830963741083986,0.10539353168187961,0.46999550066574525,0.2032553144639567,0.31577987143745734,0.1141178613279084,0.4778451747025786,0.22308235855352762,0.5543447042814389,0.08846687275033768,0.505026455026455,0.19351568855138718
23,bert-base-uncased,12,0.42673937834965164,0.040569132334600466,,,0.36993134760724095,0.11399147619307709,0.45422363589027887,0.2439999052442855,0.05561227265733294,0.126676274062649,0.27036135953575335,0.31859233692690525,0.3959966487551091,0.1073904976129267,0.4835395095258138,0.20207319367960289,0.3194825388364559,0.11599245958568202,0.4800385919938278,0.21946940658560357,0.5726620604378337,0.08862477804424043,0.5176190476190475,0.19136338795627802
24,distilroberta,1,0.3947663833342527,0.04582163924616313,,,0.5152563513723997,0.08340805591366314,0.5765403591202791,0.16500599736770835,0.06852365432706613,0.11871010641357505,0.3435072832951446,0.2699533487171546,0.5293352169505937,0.08567007117654052,0.6728759370254049,0.14044429268889072,0.45058777314352383,0.09733180279830263,0.6651987773933841,0.15348717765188905,0.689852179667345,0.06516212717528508,0.6611111111111111,0.1772039349673173
25,distilroberta,2,0.4025007168713993,0.04523060628887744,,,0.44734293811693376,0.09730779078776415,0.5530605495540216,0.18687898162818503,0.09730935868747984,0.11893500887659213,0.3302516844158275,0.3021062284899175,0.5042783381342402,0.09349500193925173,0.6189382155521638,0.17744018095764136,0.4151851456053424,0.09654353886404238,0.6188557964285002,0.17930905209089412,0.6356144538584702,0.07226138262570943,0.6116931216931218,0.17919080513019375
26,distilroberta,3,0.39289339403015033,0.0483925209331027,,,0.41656914308769916,0.09588129331254562,0.5416786692155972,0.1977029784784734,0.10575352224660593,0.11331462695082517,0.33365570639151315,0.3052475514534219,0.48381109118046556,0.08230097664042471,0.599284045011083,0.1862399236463936,0.39579799574307434,0.08663265125983444,0.609627039849178,0.18479271166391162,0.5901262092452316,0.07170540390882031,0.6094708994708995,0.18051138285560828
27,distilroberta,4,0.3799661835863854,0.05051074486577489,,,0.37905311762014454,0.10368792223378351,0.5343386550663282,0.19641714657897766,0.11987552718595314,0.11474733781709187,0.33272113994735536,0.309996966052341,0.463306053874944,0.09102230396996165,0.5824200169201728,0.18963504624320712,0.37437937474965854,0.09280903079936585,0.5819534376884309,0.18088303140170217,0.5430404483165373,0.08472585995133164,0.588042328042328,0.17607304983117417
28,distilroberta,5,0.3933117981322563,0.05352942641898693,,,0.3661911457013976,0.11282671432491614,0.5110877170676532,0.2062467520566663,0.12144569896197809,0.11761940675608354,0.32202413494390747,0.3340507272326771,0.44491641676607646,0.09790863554936417,0.5657047401511441,0.20015680921928672,0.356523612016478,0.09882066623437234,0.5751919911638841,0.20035362217763925,0.5607786440176955,0.08773792310148155,0.5598412698412699,0.179481467131723
29,distilroberta,6,0.4117192545299107,0.04870979866951948,,,0.3496692997724274,0.11960689973604813,0.5268740180319184,0.21330177706004302,0.12318355550777665,0.12035071186843624,0.33386649149074865,0.3332027808391524,0.4351752674201951,0.10189495711681314,0.5867577089032275,0.20146578564438894,0.34229112249571575,0.1045876439876458,0.5976814645047132,0.20254289450512206,0.5765511968602256,0.08968428390170154,0.5761375661375663,0.18840272829619653
