,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences,model_order
293,bert-base-japanese,9,head_noun_mean,0.16232997070849728,0.09382976086628533,0.016984977891671613,0.2039362408033353,0.6937090524142353,0.01633546914970071,0.6793270916394274,0.0327417438250218,-0.01868812207328674,0.06592132144074786,-0.09633441152244768,0.14617954434993327,2
294,bert-base-japanese,9,mod_word_mean,0.17697736933826222,0.10515600291046266,0.010513619154471915,0.20562671735801336,,,,,,,,,2
295,bert-base-japanese,9,mod_word_mean,0.17697736933826222,0.10515600291046266,0.010513619154471915,0.20562671735801336,-0.010257754455760514,0.08324025966583301,-0.11035501932222064,0.13035660914635214,,,,,2
296,bert-base-japanese,9,mod_word_mean,0.17697736933826222,0.10515600291046266,0.010513619154471915,0.20562671735801336,-0.010257754455760514,0.08324025966583301,-0.11035501932222064,0.13035660914635214,0.6759612738289079,0.06816493887195214,0.683529663232683,0.003069479310480078,2
297,bert-base-japanese,10,compound_mean,0.25942961680422705,0.10516712575746912,0.0038524447328050766,0.20764479711301234,,,,,,,,,2
298,bert-base-japanese,10,compound_mean,0.25942961680422705,0.10516712575746912,0.0038524447328050766,0.20764479711301234,0.5204651471804023,0.07517344805018952,0.404496759908891,0.16766265620267806,,,,,2
299,bert-base-japanese,10,compound_mean,0.25942961680422705,0.10516712575746912,0.0038524447328050766,0.20764479711301234,0.5204651471804023,0.07517344805018952,0.404496759908891,0.16766265620267806,0.4585834169329851,0.10188305659089178,0.3765871903575247,0.16963324116786996,2
300,bert-base-japanese,10,head_noun_mean,0.1662857578593643,0.08806216482421149,0.04583099507690585,0.20097072379930617,,,,,,,,,2
301,bert-base-japanese,10,head_noun_mean,0.1662857578593643,0.08806216482421149,0.04583099507690585,0.20097072379930617,0.6938493475904999,0.016134722132189607,0.6793270916394274,0.0327417438250218,,,,,2
302,bert-base-japanese,10,head_noun_mean,0.1662857578593643,0.08806216482421149,0.04583099507690585,0.20097072379930617,0.6938493475904999,0.016134722132189607,0.6793270916394274,0.0327417438250218,-0.017116769239739548,0.07263014291455393,-0.06814174274837895,0.14898307660744675,2
303,bert-base-japanese,10,mod_word_mean,0.176482610503406,0.10075772819383422,0.016947014754778177,0.18438076137143566,,,,,,,,,2
304,bert-base-japanese,10,mod_word_mean,0.176482610503406,0.10075772819383422,0.016947014754778177,0.18438076137143566,-0.00966947725736826,0.08769872910379617,-0.08663741260759192,0.13095817421125927,,,,,2
305,bert-base-japanese,10,mod_word_mean,0.176482610503406,0.10075772819383422,0.016947014754778177,0.18438076137143566,-0.00966947725736826,0.08769872910379617,-0.08663741260759192,0.13095817421125927,0.6731088255334862,0.08263977199937396,0.683529663232683,0.003069479310480078,2
306,bert-base-japanese,11,compound_mean,0.25895467277225864,0.09881157884692698,-0.002694840278181476,0.19034425869768734,,,,,,,,,2
307,bert-base-japanese,11,compound_mean,0.25895467277225864,0.09881157884692698,-0.002694840278181476,0.19034425869768734,0.5091415575239993,0.07967704810976102,0.38931609210746937,0.1776363519887232,,,,,2
308,bert-base-japanese,11,compound_mean,0.25895467277225864,0.09881157884692698,-0.002694840278181476,0.19034425869768734,0.5091415575239993,0.07967704810976102,0.38931609210746937,0.1776363519887232,0.4699424189920957,0.10629510454724131,0.39285219157333373,0.1806304156559182,2
309,bert-base-japanese,11,head_noun_mean,0.17444460070863757,0.08772612387947355,0.04583099507690586,0.19099677171052104,,,,,,,,,2
310,bert-base-japanese,11,head_noun_mean,0.17444460070863757,0.08772612387947355,0.04583099507690586,0.19099677171052104,0.6942088552870358,0.014856694259813027,0.6804114250538146,0.03175762309259906,,,,,2
311,bert-base-japanese,11,head_noun_mean,0.17444460070863757,0.08772612387947355,0.04583099507690586,0.19099677171052104,0.6942088552870358,0.014856694259813027,0.6804114250538146,0.03175762309259906,-0.019189357008631915,0.07328669312361381,-0.10500907883754575,0.16202859219742818,2
312,bert-base-japanese,11,mod_word_mean,0.17378364358328297,0.09846867124369088,0.005123938598108949,0.18819978210996222,,,,,,,,,2
313,bert-base-japanese,11,mod_word_mean,0.17378364358328297,0.09846867124369088,0.005123938598108949,0.18819978210996222,-0.010992506682660544,0.08619335684880174,-0.08866835103447546,0.13440182086100233,,,,,2
314,bert-base-japanese,11,mod_word_mean,0.17378364358328297,0.09846867124369088,0.005123938598108949,0.18819978210996222,-0.010992506682660544,0.08619335684880174,-0.08866835103447546,0.13440182086100233,0.6732415096235151,0.08358523904920401,0.683529663232683,0.003069479310480078,2
315,bert-base-japanese,12,compound_mean,0.27193710064340265,0.096611635877813,0.010399729743791629,0.1845871919604089,,,,,,,,,2
316,bert-base-japanese,12,compound_mean,0.27193710064340265,0.096611635877813,0.010399729743791629,0.1845871919604089,0.48954322939112893,0.10103180743721382,0.35793928729118435,0.1910504590440886,,,,,2
317,bert-base-japanese,12,compound_mean,0.27193710064340265,0.096611635877813,0.010399729743791629,0.1845871919604089,0.48954322939112893,0.10103180743721382,0.35793928729118435,0.1910504590440886,0.49165330111268574,0.12021913266264349,0.4222053103653533,0.19301331493990986,2
318,bert-base-japanese,12,head_noun_mean,0.19496172488792848,0.09311518893073742,0.054997194092287024,0.1776040818127309,,,,,,,,,2
319,bert-base-japanese,12,head_noun_mean,0.19496172488792848,0.09311518893073742,0.054997194092287024,0.1776040818127309,0.6951648109717137,0.0131406129875672,0.6804114250538146,0.03175762309259906,,,,,2
320,bert-base-japanese,12,head_noun_mean,0.19496172488792848,0.09311518893073742,0.054997194092287024,0.1776040818127309,0.6951648109717137,0.0131406129875672,0.6804114250538146,0.03175762309259906,-0.022107550664095487,0.0804208068661722,-0.1483824154130361,0.1817707564537303,2
321,bert-base-japanese,12,mod_word_mean,0.17665333981474293,0.10086603420963983,0.005123938598108954,0.19091350023138592,,,,,,,,,2
322,bert-base-japanese,12,mod_word_mean,0.17665333981474293,0.10086603420963983,0.005123938598108954,0.19091350023138592,-0.018336366299873404,0.08426859645267364,-0.14512255278355843,0.16073390506110877,,,,,2
