,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
71,microsoft/phi-1,24,not_processed_together,0.24815500195679294,0.1394672739035037,-0.02357022603955159,0.20702676712088885
72,meta-llama/Llama-3.2-3B,1,not_processed_together,0.2622349702098358,0.12595324492527604,-0.0026568771412880518,0.18647427532701089
73,meta-llama/Llama-3.2-3B,2,not_processed_together,0.25348109158466536,0.13008477189030057,-0.015675520889474295,0.19342867118381238
74,meta-llama/Llama-3.2-3B,3,not_processed_together,0.2623020269850814,0.13337112821510227,-0.00258095086750119,0.19824177667356274
75,meta-llama/Llama-3.2-3B,4,not_processed_together,0.2684431533777499,0.1333935092222459,0.006547285010986551,0.19787537472657493
76,meta-llama/Llama-3.2-3B,5,not_processed_together,0.27373571461799945,0.13795877439021997,0.014404027024170419,0.20462334496801313
77,meta-llama/Llama-3.2-3B,6,not_processed_together,0.2896133983387484,0.13598274058091983,0.03797425306372201,0.20158409015759138
78,meta-llama/Llama-3.2-3B,7,not_processed_together,0.2904954918787899,0.1296628779228714,0.039283710065919325,0.19218261206103127
79,meta-llama/Llama-3.2-3B,8,not_processed_together,0.30108061435928923,0.1310720212867674,0.05499719409228705,0.19420620325498375
80,meta-llama/Llama-3.2-3B,9,not_processed_together,0.29578805311903966,0.1248075878194483,0.04714045207910318,0.1849257441899249
81,meta-llama/Llama-3.2-3B,10,not_processed_together,0.29402386603895636,0.12560707149803763,0.04452153807470856,0.1861272335010502
82,meta-llama/Llama-3.2-3B,11,not_processed_together,0.2975522401991228,0.1254750555234876,0.049759366083497805,0.18590600453994352
83,meta-llama/Llama-3.2-3B,12,not_processed_together,0.29049549187879,0.13109517396786716,0.03928371006591931,0.1943121242899952
84,meta-llama/Llama-3.2-3B,13,not_processed_together,0.28520293063854035,0.13132022686304728,0.031426968052735454,0.19468239408816926
85,meta-llama/Llama-3.2-3B,14,not_processed_together,0.2737357146179995,0.13383637492094555,0.014404027024170422,0.19849830604675037
86,meta-llama/Llama-3.2-3B,15,not_processed_together,0.2799103693982908,0.11584402865167662,0.02357022603955159,0.1717137056493131
87,meta-llama/Llama-3.2-3B,16,not_processed_together,0.28252312163079274,0.12413564199870476,0.027460633909250087,0.18362185590193578
88,meta-llama/Llama-3.2-3B,17,not_processed_together,0.2781461823182074,0.13258566403404135,0.020951312035156967,0.1966105102220296
89,meta-llama/Llama-3.2-3B,18,not_processed_together,0.26488125082996067,0.12467191065105346,0.0012714938653038803,0.18454791532058754
90,meta-llama/Llama-3.2-3B,19,not_processed_together,0.257790974122005,0.1255364933707964,-0.009242125289168025,0.1854826431502978
91,meta-llama/Llama-3.2-3B,20,not_processed_together,0.26488125082996067,0.12726617805460366,0.0012714938653038909,0.1884098252939102
92,meta-llama/Llama-3.2-3B,21,not_processed_together,0.2613193482821714,0.1253069777406789,-0.004004297280378791,0.1851146457639139
93,meta-llama/Llama-3.2-3B,22,not_processed_together,0.26131934828217146,0.12343008248588798,-0.004004297280378793,0.18231463323589023
94,meta-llama/Llama-3.2-3B,23,not_processed_together,0.26308353536225465,0.12155942529651542,-0.001385383275984164,0.17951026159376882
95,meta-llama/Llama-3.2-3B,24,not_processed_together,0.2657298159823795,0.12060032701102948,0.002542987730607765,0.1780589318891518
96,meta-llama/Llama-3.2-3B,25,not_processed_together,0.26220144182221305,0.12019315109366108,-0.0026948402781814757,0.1774779606911976
97,meta-llama/Llama-3.2-3B,26,not_processed_together,0.25690888058196343,0.12228213435759969,-0.01055158229136534,0.18063477159067215
98,meta-llama/Llama-3.2-3B,27,not_processed_together,0.259588689589711,0.13185282616487856,-0.0065852481478799775,0.19527265704676547
99,meta-llama/Llama-3.2-3B,28,not_processed_together,0.2543296567370842,0.13719611602667958,-0.014404027024170414,0.2036153006828162
