,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_pvalue,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_pvalue_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_pvalue,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_pvalue_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_pvalue,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_pvalue_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_pvalue,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_pvalue_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_pvalue,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_pvalue_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_pvalue,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_pvalue_within_compound_sentences
32,bert-base-japanese,9,0.06248180446191817,0.0,,,0.4201791274072906,0.0,0.377233896597381,0.0,-0.1293820961891761,0.0,0.16538907978412762,0.0,0.19367255802295014,0.0,0.36847260437006263,0.0,0.21547628090355928,0.0,0.38572256071348543,0.0,0.34828674698652484,0.0,0.32174488330007067,0.0
33,bert-base-japanese,10,0.0623293515667656,0.0,,,0.3965033592597131,0.0,0.3641567283572556,0.0,-0.1304477542646506,0.0,0.1667421331464163,0.0,0.18526211531121448,0.0,0.3597551198893163,0.0,0.20565199809999732,0.0,0.37911390528005,0.0,0.3620430981472665,0.0,0.3269012990689577,0.0
34,bert-base-japanese,11,0.06266514116413621,0.0,,,0.374618741555994,0.0,0.35677393444390826,0.0,-0.12605288893447433,0.0,0.17036848578128627,0.0,0.18422038068776198,0.0,0.3598731270249411,0.0,0.20329904345549388,0.0,0.37931514796687005,0.0,0.3648421651559832,0.0,0.3229964471670279,0.0
35,bert-base-japanese,12,0.06333004135135853,0.0,,,0.3386896079681445,0.0,0.2895888735824817,0.0,-0.1303045588933757,0.0,0.1584573038831556,0.0,0.1417064095141522,0.0,0.28571305509470185,0.0,0.15806226989359978,0.0,0.30468002428471314,0.0,0.3357056093890258,0.0,0.2519182990391697,0.0
36,openai-community/gpt2,1,0.05828375955114337,0.0,,,0.21997502912298647,0.0,0.2004153967094514,0.0,0.061593905035101065,0.0,0.15718001240699203,0.0,0.2825067156492832,0.0,0.3150857931265905,0.0,0.3081833431273406,0.0,0.3338378372766725,0.0,0.2934066006311028,0.0,0.37523353124961867,0.0
37,openai-community/gpt2,2,0.06378964825941531,0.0,,,0.22754020486783852,0.0,0.1709077718332795,0.0,0.032700649131899615,5.9368505667022797e-213,0.1318964930405071,0.0,0.24436836014519248,0.0,0.2595242044057725,0.0,0.2683669553065153,0.0,0.2748752049326389,0.0,0.3750002777064497,0.0,0.4122936348445166,0.0
38,openai-community/gpt2,3,0.06268373476102365,0.0,,,0.23051019895355368,0.0,0.21346702822782032,0.0,0.03478429149268397,1.1191205798244215e-240,0.1563040674293192,0.0,0.2879385537215536,0.0,0.32592401305102014,0.0,0.31392139827330695,0.0,0.3531065105720819,0.0,0.4061611860631448,0.0,0.46278274372997147,0.0
39,openai-community/gpt2,4,0.05335313594670645,0.0,,,0.2273356545798161,0.0,0.18409976213622223,0.0,-0.010218053248319639,2.203492335442991e-22,0.13619758157004272,0.0,0.21735453949319233,0.0,0.29022612773924644,0.0,0.24336371878319446,0.0,0.3207150703450352,0.0,0.3344882665179042,0.0,0.41713003702004947,0.0
40,openai-community/gpt2,5,0.04386936270781062,5.94828989412006e-256,,,0.22139731292485135,0.0,0.1437387319204725,0.0,-0.07433231851312885,0.0,0.1037086565323868,1.1485368296043645e-234,0.12817824612630116,0.0,0.2286812667339894,0.0,0.15053102306440547,0.0,0.2551928941341863,0.0,0.29077174202443135,0.0,0.3374199455322248,0.0
41,openai-community/gpt2,6,0.04982640465502242,0.0,,,0.2135516221929841,0.0,0.13147253846131357,0.0,-0.09223080427962717,0.0,0.08663457712277464,2.183674525479332e-164,0.10320166535777496,0.0,0.20135088530226003,0.0,0.12351743616291663,0.0,0.23048660128384152,0.0,0.3049086003246405,0.0,0.32963788708474123,0.0
