,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
88,meta-llama/Llama-3.2-3B,17,0.25708635626404347,0.1023542365192704,0.09293348401911561,0.2091307593242542,0.544214634175883,0.0974904646341036,0.3076073231074336,0.2148342358192157,0.2014772788846955,0.11425353546533573,0.41027764280709356,0.23349642465709444
89,meta-llama/Llama-3.2-3B,18,0.2531798153838213,0.10356905146338416,0.0942429410213129,0.21936317978355738,0.5493677198313358,0.09711987810456815,0.3054386562786591,0.21233146798055832,0.21894436282875032,0.11513885711620431,0.4232896437797406,0.21855414144369104
90,meta-llama/Llama-3.2-3B,19,0.2511816933249455,0.10535276347418861,0.06543488697297209,0.21999823746933378,0.5553001298271834,0.09690496283614035,0.28917365506285025,0.22633754748387028,0.22777731502808846,0.11755107133819961,0.4395546449955495,0.21580374303761407
91,meta-llama/Llama-3.2-3B,20,0.2513055729083149,0.10696893391549393,0.05757814495978822,0.21464744367406235,0.5517355079740477,0.10124058806106205,0.2870049882340757,0.23183629177076842,0.2282752496481232,0.11507365195598263,0.44172331182432406,0.20694405541017752
92,meta-llama/Llama-3.2-3B,21,0.24980635017882594,0.1049906634366734,0.061506515966380154,0.21713803495251768,0.5490042999388333,0.10248118001751327,0.2875173084128504,0.22833496094183459,0.22910074454834425,0.11441744444625852,0.43521731133800046,0.20946391940927903
93,meta-llama/Llama-3.2-3B,22,0.25198668141789987,0.10583522758124082,0.06281597296857748,0.20480473384665654,0.5449424055631849,0.10360160718208937,0.2918546420703995,0.22622102719670684,0.22857696628022878,0.11689574449240686,0.433048644509226,0.21092243086370815
94,meta-llama/Llama-3.2-3B,23,0.251062012105234,0.10535746486436037,0.06539692383607866,0.20951276265343835,0.540372342107245,0.10377686892215192,0.2734898382267615,0.2296904180920524,0.2304815357843354,0.11485594798661662,0.4449763120674859,0.20542371715142346
95,meta-llama/Llama-3.2-3B,24,0.2515187260444273,0.10772360848959171,0.06936325797956402,0.20794243851510885,0.5365137928347186,0.10687720253282551,0.2750773206758159,0.23561435758064259,0.22663147606113837,0.11785250973670928,0.4438919786530986,0.2117920084659649
96,meta-llama/Llama-3.2-3B,25,0.25466905245232535,0.10967927254878489,0.06670638083827597,0.20983626019509924,0.544164346023225,0.10494713953821636,0.2729775180479868,0.23852507076747534,0.22664100026518544,0.1170792845919525,0.44714497889626037,0.2096010974504868
97,meta-llama/Llama-3.2-3B,26,0.25152668599542133,0.11137271229881611,0.07456312285145981,0.2036688705466243,0.5379947290829951,0.10654726045381974,0.271321171397987,0.22795590162540402,0.21812800124346238,0.11720384046267564,0.44714497889626037,0.21060840552012375
98,meta-llama/Llama-3.2-3B,27,0.23004478769511896,0.11434360816588969,0.04571710566622559,0.2091561748659485,0.5175368249107167,0.11864880997626327,0.21175169780763323,0.24128457007200502,0.19657742798513148,0.11595528666665429,0.4796749813278781,0.22683721512274618
99,meta-llama/Llama-3.2-3B,28,0.26694359866849726,0.08822295090609764,0.0496454766728175,0.17701595646704776,0.4942282090696914,0.10847705996562937,0.3470867820032042,0.19866076088703227,0.4038055352276555,0.10946404148072414,0.427550860833726,0.20590479463578756
